text,category,urgency,cleaned_text
Where can I download the annual VAT invoices for our corporate tax filing?,Billing,Low,where can i download the annual vat invoices for our corporate tax filing
Where can I find the official product documentation for advanced webhook configurations?,Other,Low,where can i find the official product documentation for advanced webhook configurations
The integration with Slack webhook is broken; notifications are not triggering.,Technical,Medium,the integration with slack webhook is broken notifications are not triggering
The API endpoint /v1/data is throwing a timeout error consistently since the latest deployment.,Technical,Critical,the api endpoint v1data is throwing a timeout error consistently since the latest deployment
Reset link for password not received.,Account,Low,reset link for password not received
My subscription auto-renewed but I meant to cancel it last week. Is a refund possible?,Billing,High,my subscription autorenewed but i meant to cancel it last week is a refund possible
Do you support integration with third party tools?,Other,Low,do you support integration with third party tools
Need a refund for duplicate billing.,Billing,High,need a refund for duplicate billing
The API endpoint /v1/data is throwing a timeout error consistently since the latest deployment.,Technical,Critical,the api endpoint v1data is throwing a timeout error consistently since the latest deployment
Error code ERR-8557 on the main server dashboard.,Technical,Critical,error code err8557 on the main server dashboard
Getting a blank white screen on the mobile app after entering the OTP dashboard.,Technical,High,getting a blank white screen on the mobile app after entering the otp dashboard
Getting a blank white screen on the mobile app after entering the OTP dashboard.,Technical,High,getting a blank white screen on the mobile app after entering the otp dashboard
The API endpoint /v1/data is throwing a timeout error consistently since the latest deployment.,Technical,Critical,the api endpoint v1data is throwing a timeout error consistently since the latest deployment
Where can I download the annual VAT invoices for our corporate tax filing?,Billing,Low,where can i download the annual vat invoices for our corporate tax filing
Getting a blank white screen on the mobile app after entering the OTP dashboard.,Technical,High,getting a blank white screen on the mobile app after entering the otp dashboard
Getting a blank white screen on the mobile app after entering the OTP dashboard.,Technical,High,getting a blank white screen on the mobile app after entering the otp dashboard
How to update my profile security settings?,Account,Low,how to update my profile security settings
Are you guys planning to launch a dark mode theme for the desktop application anytime soon?,Other,Low,are you guys planning to launch a dark mode theme for the desktop application anytime soon
How to update my profile security settings?,Account,Low,how to update my profile security settings
Can we change our registered corporate email from admin@oldcompany.com to support@newcompany.com?,Account,Medium,can we change our registered corporate email from adminoldcompanycom to supportnewcompanycom
App keeps crashing on window startup.,Technical,Critical,app keeps crashing on window startup
Please delete all my personal data and close this account under GDPR compliance.,Account,Low,please delete all my personal data and close this account under gdpr compliance
Need a refund for duplicate billing.,Billing,Medium,need a refund for duplicate billing
I need to transfer ownership of this workspace to my colleague as I am leaving the organization.,Account,Medium,i need to transfer ownership of this workspace to my colleague as i am leaving the organization
Locked out of my profile account.,Account,Medium,locked out of my profile account
Getting a blank white screen on the mobile app after entering the OTP dashboard.,Technical,High,getting a blank white screen on the mobile app after entering the otp dashboard
Send me marketing newsletter details.,Other,Low,send me marketing newsletter details
My subscription auto-renewed but I meant to cancel it last week. Is a refund possible?,Billing,High,my subscription autorenewed but i meant to cancel it last week is a refund possible
My subscription auto-renewed but I meant to cancel it last week. Is a refund possible?,Billing,High,my subscription autorenewed but i meant to cancel it last week is a refund possible
Please delete all my personal data and close this account under GDPR compliance.,Account,Low,please delete all my personal data and close this account under gdpr compliance
Error code ERR-7248 on the main server dashboard.,Technical,Critical,error code err7248 on the main server dashboard
Locked out of my profile account.,Account,Low,locked out of my profile account
Where can I find the official product documentation for advanced webhook configurations?,Other,Low,where can i find the official product documentation for advanced webhook configurations
The API endpoint /v1/data is throwing a timeout error consistently since the latest deployment.,Technical,Critical,the api endpoint v1data is throwing a timeout error consistently since the latest deployment
Two-factor authentication (2FA) is locked out because I lost my authenticator device.,Account,High,twofactor authentication 2fa is locked out because i lost my authenticator device
Send me marketing newsletter details.,Other,Medium,send me marketing newsletter details
Charged twice for subscription id ERR-5848.,Billing,High,charged twice for subscription id err5848
App keeps crashing on window startup.,Technical,High,app keeps crashing on window startup
